baseline,spearman_rho,r2,mae,f2_tau_0.25,recall_tau_0.25,precision_tau_0.25,f2_tau_0.5,recall_tau_0.5,precision_tau_0.5,f2_tau_0.75,recall_tau_0.75,precision_tau_0.75
PredictMean,NaN,-0.01458132266998291,0.2718663215637207,0.9474885844748858,1.0,0.7830188679245284,0.8994708994708994,1.0,0.6415094339622641,0.0,0.0,0.0
PredictMedian,NaN,-0.00010120868682861328,0.26632753014564514,0.9474885844748858,1.0,0.7830188679245284,0.8994708994708994,1.0,0.6415094339622641,0.0,0.0,0.0
Ridge,0.2835385130837852,0.09483945369720459,0.2517511248588562,0.9425287356321839,0.9879518072289156,0.7961165048543689,0.8379888268156425,0.8823529411764706,0.6976744186046512,0.0273224043715847,0.022222222222222223,0.3333333333333333
RandomForest,0.5288473407260167,0.2555953860282898,0.2167986035346985,0.9353348729792148,0.9759036144578314,0.801980198019802,0.8380681818181818,0.8676470588235294,0.7375,0.10869565217391304,0.08888888888888889,1.0
XGBoost,0.5507281425015396,0.29048097133636475,0.20464453101158142,0.9302325581395349,0.963855421686747,0.8163265306122449,0.8333333333333334,0.8529411764705882,0.7631578947368421,0.4207920792079208,0.37777777777777777,0.7727272727272727
XGBoost+Anomaly,0.5507281425015396,0.29048097133636475,0.20464453101158142,0.9302325581395349,0.963855421686747,0.8163265306122449,0.8333333333333334,0.8529411764705882,0.7631578947368421,0.4207920792079208,0.37777777777777777,0.7727272727272727
Logistic(τ=0.25),0.2530575435369481,-0.012819886207580566,0.2509966790676117,0.9250585480093677,0.9518072289156626,0.8315789473684211,0.7748538011695907,0.7794117647058824,0.7571428571428571,0.20100502512562815,0.17777777777777778,0.42105263157894735
XGBoost(τ=0.25),0.37029591731461753,-0.7564890384674072,0.30559417605400085,0.9280742459396751,0.963855421686747,0.8080808080808081,0.8672086720867209,0.9411764705882353,0.6597938144329897,0.7954545454545454,0.9333333333333333,0.5
Logistic(τ=0.5),0.2825963740250648,-0.04307913780212402,0.2641662657260895,0.936768149882904,0.963855421686747,0.8421052631578947,0.6666666666666666,0.6470588235294118,0.7586206896551724,0.026881720430107527,0.022222222222222223,0.16666666666666666
XGBoost(τ=0.5),0.44525894969269847,-0.013894319534301758,0.22791734337806702,0.9026128266033254,0.9156626506024096,0.8539325842696629,0.804093567251462,0.8088235294117647,0.7857142857142857,0.6550218340611353,0.6666666666666666,0.6122448979591837
Logistic(τ=0.75),0.2903400517429969,-0.1270662546157837,0.2809458076953888,0.9176470588235294,0.9397590361445783,0.8387096774193549,0.4340836012861736,0.39705882352941174,0.6923076923076923,0.0273224043715847,0.022222222222222223,0.3333333333333333
XGBoost(τ=0.75),0.47001151223544413,-0.5530184507369995,0.28952014446258545,0.712468193384224,0.6746987951807228,0.9180327868852459,0.5431309904153354,0.5,0.8292682926829268,0.3768844221105528,0.3333333333333333,0.7894736842105263
