name,spearman_rho,r2,mae,f2_065,f2_075,f2_085,notes
XGBClassifier(τ=0.65),0.4844596262898164,-0.12592589855194092,0.2689724266529083,0.46255506607929514,0.43902439024390244,0.3,""
RandomForest,0.4670576321634914,0.22890663931749522,0.24238603595395608,0.4484304932735426,0.2631578947368421,0.0,Optimized hyperparams
Ridge,0.4524871147884678,0.20980912446975708,0.24509747326374054,0.5066079295154186,0.10752688172043011,0.03875968992248062,""
XGBClassifier(τ=0.85),0.4229228699901833,-1.63319993019104,0.43771448731422424,0.125,0.08287292817679558,0.07575757575757576,""
BERTweet + Features,0.39353303471444573,0.15195602178573608,0.24275147914886475,0.5726872246696035,0.41237113402061853,0.14925373134328357,ViralBERT-style
XGBoost,0.37623877109773196,0.15637695789337158,0.24585826694965363,0.5364806866952789,0.26455026455026454,0.07633587786259542,""
XGBClassifier(τ=0.75),0.36177909444962764,-0.8119140863418579,0.34720578789711,0.25943396226415094,0.18421052631578946,0.2158273381294964,""
Hawkes (HIP),0.2471738787528261,-3.4912190437316895,0.5874402523040771,0.0,0.0,0.0,Custom EM implementation
BERTweet,0.14643057110862265,-0.061033010482788086,0.2799360752105713,0.35714285714285715,0.0,0.0,Text-only
SentenceBERT,0.14134938409854422,-0.10783624649047852,0.28433388471603394,0.33653846153846156,0.11173184357541899,0.0,Text-only
Transformer Hawkes,0.13336663336663337,0.004694044589996338,0.2742305099964142,0.10135135135135136,0.07407407407407407,0.049019607843137254,Zuo et al. ICML 2020
GRU,0.08207597645799893,-0.023038864135742188,0.2814562916755676,0.33505154639175255,0.1488095238095238,0.040983606557377046,"2-layer, hidden=64"
LSTM,0.01589496645676421,-0.02089977264404297,0.27997586131095886,0.2631578947368421,0.17964071856287425,0.04065040650406504,"2-layer, hidden=64"
Random,-0.03788233753208949,-0.9059210460624372,0.3669236079283041,0.30434782608695654,0.2682926829268293,0.1773049645390071,Trivial baseline
