name,spearman_rho,cv_rho,r2,mae,f2_065,f2_075,f2_085
BayesianRidge,0.5507267551704159,0.45919617618189057,0.29336255950069234,0.22561890863935924,0.4132231404958678,0.13089005235602094,0.04065040650406504
ElasticNet,0.5423230974632844,0.4587262372882156,0.3021661676662908,0.22210966372162227,0.4098360655737705,0.13089005235602094,0.040983606557377046
Stacking (RF+XGB+Ridge),0.5393908859611557,0.573443252104567,0.3495250705015892,0.2134415502251419,0.52734375,0.23195876288659795,0.040983606557377046
Voting (RF+XGB+Ridge),0.5391490540846915,0.574940587769839,0.3445360014834684,0.21341318388411903,0.546875,0.18229166666666666,0.040983606557377046
SVR (RBF),0.5352911688335216,0.43388478758127635,0.354305902018743,0.19804540551723104,0.7089552238805971,0.4009433962264151,0.11811023622047244
Huber,0.5298586794971912,0.4799633847211009,0.30600628366867677,0.2154295596355051,0.5882352941176471,0.25,0.11811023622047244
ExtraTrees,0.5286696727712421,0.48519938235745946,0.305110882426777,0.22129280209609833,0.6297709923664122,0.20618556701030927,0.040983606557377046
Lasso,0.528468146207522,0.44876738548020123,0.2886920817891532,0.22368669948000222,0.3389830508474576,0.13089005235602094,0.0
MLP,0.5037912184799859,0.44383588097653587,0.2901706146935421,0.21610725330767433,0.5686274509803921,0.22727272727272727,0.11904761904761904
CatBoost,0.5008086253369273,0.0,0.29812878486202077,0.21839499417191827,0.5426356589147286,0.29850746268656714,0.04065040650406504
HistGradientBoosting,0.48685291079930476,0.5087687046069814,0.2328650069908733,0.22432128400389753,0.49603174603174605,0.31862745098039214,0.11904761904761904
GradientBoosting,0.4572889639015543,0.5156250718429882,0.19742450844211012,0.22815442768696298,0.5703422053231939,0.33980582524271846,0.07936507936507936
LightGBM,0.44922790135274704,0.5256361655084473,0.18653618810282813,0.2303414051420317,0.47619047619047616,0.3140096618357488,0.11904761904761904
KernelRidge,0.4039851877975666,0.4029760894016869,0.06556079013224825,0.23835488657588685,0.5357142857142857,0.15463917525773196,0.04132231404958678
