name,test_rho,cv_rho,r2,mae,f2_065,f2_075,f2_085
BayesianRidge,0.5507267551704159,0.4697726498589779,0.29336255950069234,0.22561890863935924,0.4132231404958678,0.13089005235602094,0.04065040650406504
LightGBM,0.5488122528150742,0.5567888025262427,0.33291185194110773,0.21102133849034038,0.5813953488372093,0.3217821782178218,0.08130081300813008
Lasso,0.5432803486409552,0.48837277751999625,0.3045412699262311,0.22218242577054687,0.4489795918367347,0.1794871794871795,0.04032258064516129
SVR (RBF),0.5424238607451446,0.46533491723109693,0.33632071019874665,0.20712320021316238,0.632183908045977,0.3431372549019608,0.04065040650406504
ElasticNet,0.5422324105096102,0.493479434192703,0.2997123094009747,0.2222860679844344,0.4489795918367347,0.20304568527918782,0.04032258064516129
Stacking (RF+XGB+Ridge),0.5338589817870368,0.572396988015714,0.339197809471781,0.21465965126502642,0.5490196078431373,0.15625,0.040983606557377046
RandomForest,0.5317328765397888,0.5658710799233799,0.3186219835584495,0.21690241500798893,0.546875,0.3217821782178218,0.04132231404958678
Voting (RF+XGB+Ridge),0.5311383731768143,0.5735152332981327,0.33660752640528513,0.2141225922817664,0.546875,0.18229166666666666,0.040983606557377046
Ridge,0.5298989848099352,0.493531505533197,0.2931626439733521,0.22161219125459752,0.4098360655737705,0.20304568527918782,0.08
Huber,0.5291432601959846,0.4921131942596883,0.2927113882365435,0.22109802277166496,0.40816326530612246,0.20304568527918782,0.08
ExtraTrees,0.5277426505781294,0.5019265171407227,0.30703993474273306,0.21952077545515877,0.648854961832061,0.20408163265306123,0.08130081300813008
CatBoost,0.5272791394815729,0.572591956937648,0.33473617060828287,0.21699139403862439,0.531496062992126,0.18134715025906736,0.040983606557377046
HistGradientBoosting,0.5209109000680152,0.5387252396102022,0.29778401944751365,0.21850457752488384,0.5791505791505791,0.3640776699029126,0.08130081300813008
GradientBoosting,0.5176965513766784,0.5528749129591557,0.3177651212182404,0.2197722113903531,0.4921259842519685,0.20618556701030927,0.04132231404958678
XGBoost,0.511721288762375,0.5585416099334307,0.30425479191263805,0.21735109155785068,0.5490196078431373,0.23076923076923078,0.040983606557377046
BERTweet + Features,0.5096406241599298,0.3629844545357467,0.25525928614284177,0.22190650785331298,0.5405405405405406,0.2564102564102564,0.1111111111111111
MLP,0.4715783852154551,0.44907370149848214,0.23784403801542697,0.21915158402142731,0.5576923076923077,0.33980582524271846,0.08064516129032258
Random,-0.05201904426027156,0.0,-1.1410211881506536,0.3811105988310363,0.28112449799196787,0.1674641148325359,0.07462686567164178
BERTweet,-0.08577560799093278,0.03062749065177162,-0.2651475243278134,0.28729666574807616,0.23923444976076555,0.09803921568627451,0.0
