decay,gamma,threshold,use_arrival_rate,nab_score,detection_rate,median_lead,precision
0.005,1.0,0.05,True,72.21160077770577,95.00972132209981,23.0,0.7731513914694446
0.05,1.0,0.05,True,72.21160077770577,95.00972132209981,23.0,0.7736816170606194
0.02,1.0,0.1,True,72.21160077770577,95.00972132209981,23.0,0.7739332374597916
0.02,1.0,0.05,True,72.21160077770577,95.00972132209981,23.0,0.7731906425148242
0.02,0.5,0.05,True,72.21160077770577,95.00972132209981,23.0,0.7734655114623221
0.01,1.0,0.05,True,72.21160077770577,95.00972132209981,23.0,0.7730179677190133
0.01,0.5,0.05,True,72.21160077770577,95.00972132209981,23.0,0.7733084195667848
0.005,0.5,0.05,True,72.20620004320587,94.9449125081011,23.0,0.7736776867900758
0.01,1.0,0.1,True,72.20349967595594,94.9449125081011,23.0,0.7739411032344945
0.02,0.25,0.05,True,72.19809894145604,95.00972132209981,23.0,0.774102386858049
0.01,0.25,0.05,True,72.1899978397062,94.9449125081011,23.0,0.7742086347392447
0.005,1.0,0.1,True,72.17109526895659,94.9449125081011,23.0,0.7747521352738593
0.005,0.25,0.05,True,72.1251890257075,94.9449125081011,23.0,0.7754227148450428
0.01,0.5,0.1,True,72.12248865845756,94.9449125081011,23.0,0.7765455704270235
0.01,1.0,0.15,True,72.11978829120761,94.9449125081011,23.0,0.7764545139384547
0.05,0.5,0.05,True,72.10628645495788,94.9449125081011,23.0,0.7748901009443178
0.02,1.0,0.15,True,72.06578094620869,94.8801036941024,23.0,0.7758849061602103
0.02,0.5,0.1,True,72.06578094620869,94.8801036941024,23.0,0.7758295721985065
0.005,1.0,0.15,True,72.05227910995895,94.8801036941024,23.0,0.780136754590095
0.005,0.5,0.1,True,72.04147764095919,94.8801036941024,23.0,0.780708998671461
0.01,1.0,0.2,True,72.03877727370923,94.8801036941024,23.0,0.782739640135065
0.005,1.0,0.2,True,71.88755670771225,94.81529488010369,23.0,0.7935142462396705
0.05,1.0,0.05,False,71.8805357528624,94.55605962410888,23.0,0.7788369096078712
0.05,0.5,0.05,False,71.80222510261396,94.49125081011017,23.0,0.7806813405369939
0.05,0.25,0.05,False,71.67260747461654,94.36163318211277,23.0,0.7835369774919614
0.02,1.0,0.05,False,71.62130049686758,94.42644199611148,23.0,0.784166327702233
0.01,0.5,0.15,True,71.61751998271765,94.62086843810758,23.0,0.7965106244998927
0.05,1.0,0.1,False,71.57269388636855,94.29682436811406,23.0,0.7862796016458696
0.05,1.0,0.1,True,71.42309354072154,94.36163318211277,23.0,0.7809413370413509
0.02,0.5,0.05,False,71.41337221862173,94.16720674011665,23.0,0.7874463574789308
0.05,0.25,0.05,True,71.34208252322316,94.36163318211277,23.0,0.7821412787650185
0.02,1.0,0.2,True,71.23406783322532,94.49125081011017,23.0,0.8011200943237325
0.005,0.5,0.15,True,71.21786562972564,94.55605962410888,23.0,0.8190766283318713
0.05,0.5,0.1,False,71.16277813782675,94.03758911211925,23.0,0.7914566335810425
0.01,0.25,0.1,True,71.1152516742277,94.62086843810758,23.0,0.8125480481763048
0.02,0.25,0.05,False,71.04072153812918,93.84316267012314,23.0,0.7915018787126011
0.01,1.0,0.05,False,70.95430978613092,93.77835385612444,23.0,0.7920452240661096
0.005,0.25,0.1,True,70.78310650248434,94.49125081011017,23.0,0.8402989939615595
0.05,1.0,0.15,False,70.73558003888529,93.71354504212573,23.0,0.7954871902013528
0.01,0.5,0.05,False,70.60866277813783,93.58392741412833,23.0,0.7974155985591019
0.02,1.0,0.1,False,70.48984661914021,93.45430978613092,23.0,0.7997983436874747
0.01,0.25,0.05,False,70.21170879239578,93.2598833441348,23.0,0.8042159290726962
0.05,0.25,0.1,False,70.13447828904731,93.00064808813998,23.0,0.8032403866945841
0.005,1.0,0.05,False,69.88226398790235,92.80622164614388,23.0,0.806998579936839
0.05,0.5,0.15,False,69.87200259235256,93.00064808813998,23.0,0.8065711985764521
0.02,0.5,0.1,False,69.75588680060488,92.74141283214517,23.0,0.8081762174381397
0.05,1.0,0.2,False,69.73158349535537,92.80622164614388,23.0,0.8085108641988417
0.02,0.5,0.15,True,69.58954417800821,93.3246921581335,23.0,0.8399509614428823
0.005,0.5,0.05,False,69.23687621516527,92.35255994815294,23.0,0.8156816538574834
0.02,1.0,0.15,False,69.08025491466839,92.22294232015554,23.0,0.8173319451748973
0.01,1.0,0.1,False,68.84802333117305,92.22294232015554,23.0,0.8199060042098917
0.005,0.25,0.05,False,68.68600129617629,92.15813350615684,23.0,0.8268411194657835
0.05,0.5,0.1,True,68.62821343702744,92.09332469215813,23.0,0.8163814444085674
0.005,0.5,0.2,True,68.57690645927846,94.10239792611796,22.0,1.0245805013101967
0.02,0.25,0.1,True,68.43648736228128,92.93583927414129,23.0,0.8571686366507263
0.05,1.0,0.15,True,68.39868222078202,91.96370706416073,23.0,0.8225973280479153
0.01,0.5,0.1,False,68.3949017066321,91.96370706416073,23.0,0.8325725562656141
0.02,0.25,0.1,False,68.22801901058546,91.38042773817239,23.0,0.8253266353443558
0.02,0.5,0.15,False,67.99794772089004,91.7044718081659,23.0,0.8347904253977998
0.02,1.0,0.2,False,67.7792179736444,91.83408943616332,23.0,0.840248046961204
0.01,1.0,0.15,False,67.65716137394686,92.02851587815942,23.0,0.8489267180593413
0.005,1.0,0.1,False,67.3250162022035,91.96370706416073,23.0,0.8554017242831868
0.05,0.5,0.2,False,66.95074530136098,90.14906027219702,23.0,0.8415759518152179
0.005,0.5,0.1,False,66.80708576366385,91.7044718081659,23.0,0.8736855993896248
0.01,0.25,0.1,False,66.6256210844675,90.86195722618277,23.0,0.8585892752446669
0.005,1.0,0.15,False,66.50950529271982,91.5100453661698,22.0,0.8936901834910836
0.01,1.0,0.2,False,66.21300496867575,91.12119248217758,22.0,0.8834106728538283
0.01,0.5,0.15,False,66.2049038669259,91.05638366817887,22.0,0.8768495595601359
0.01,0.5,0.2,True,66.18168070857638,93.3246921581335,22.0,1.1122175523891809
0.05,0.25,0.15,False,66.16115791747677,89.17692806221646,23.0,0.8439683691959857
0.005,0.25,0.1,False,65.46716353424065,90.60272197018794,22.0,0.9086895300828143
0.005,1.0,0.2,False,65.04374594944913,90.53791315618925,22.0,0.9373692114527684
0.005,0.5,0.15,False,64.98163750270038,90.47310434219054,22.0,0.9336856366902285
0.02,0.5,0.2,False,64.55119896305898,88.65845755022683,23.0,0.886480445626677
0.005,0.25,0.15,True,63.180492546986386,92.93583927414129,21.0,1.3295605332302258
0.02,0.25,0.15,False,63.1151436595377,87.68632534024627,23.0,0.8899614914889763
0.01,0.5,0.2,False,62.28883128105422,87.62151652624758,22.0,0.9494065429882306
0.05,1.0,0.2,True,62.177036076906454,87.55670771224887,23.0,0.9225069465884532
0.05,0.25,0.2,False,62.16137394685677,86.58457550226831,23.0,0.9134419307631408
0.01,0.25,0.15,False,60.9899546338302,86.5197666882696,22.0,0.9594728254364246
